央视(代理),#genre#
CCTV1,http://43.226.38.166:89/dglive/ysp.php?id=cctv1
CCTV2,http://43.226.38.166:89/dglive/ysp.php?id=cctv2
CCTV3,http://43.226.38.166:89/dglive/ysp.php?id=cctv3
CCTV4,http://43.226.38.166:89/dglive/ysp.php?id=cctv4
CCTV5,http://43.226.38.166:89/dglive/ysp.php?id=cctv5
CCTV5+,http://43.226.38.166:89/dglive/ysp.php?id=cctv5p
CCTV6,http://43.226.38.166:89/dglive/ysp.php?id=cctv6
CCTV7,http://43.226.38.166:89/dglive/ysp.php?id=cctv7
CCTV8,http://43.226.38.166:89/dglive/ysp.php?id=cctv8
CCTV9,http://43.226.38.166:89/dglive/ysp.php?id=cctv9
CCTV10,http://43.226.38.166:89/dglive/ysp.php?id=cctv10
CCTV11,http://43.226.38.166:89/dglive/ysp.php?id=cctv11
CCTV12,http://43.226.38.166:89/dglive/ysp.php?id=cctv12
CCTV13,http://43.226.38.166:89/dglive/ysp.php?id=cctv13
CCTV14,http://43.226.38.166:89/dglive/ysp.php?id=cctv14
CCTV15,http://43.226.38.166:89/dglive/ysp.php?id=cctv15
CCTV16,http://43.226.38.166:89/dglive/ysp.php?id=cctv16
CCTV17,http://43.226.38.166:89/dglive/ysp.php?id=cctv17

卫视(代理),#genre#
北京卫视,http://43.226.38.166:89/dglive/ysp.php?id=bjws
江苏卫视,http://43.226.38.166:89/dglive/ysp.php?id=jsws
东方卫视,http://43.226.38.166:89/dglive/ysp.php?id=dfws
浙江卫视,http://43.226.38.166:89/dglive/ysp.php?id=zjws
湖南卫视,http://43.226.38.166:89/dglive/ysp.php?id=hnws
湖北卫视,http://43.226.38.166:89/dglive/ysp.php?id=hbws
广东卫视,http://43.226.38.166:89/dglive/ysp.php?id=gdws
广西卫视,http://43.226.38.166:89/dglive/ysp.php?id=gxws
黑龙江卫视,http://43.226.38.166:89/dglive/ysp.php?id=hljws
海南卫视,http://43.226.38.166:89/dglive/ysp.php?id=hnws2
重庆卫视,http://43.226.38.166:89/dglive/ysp.php?id=cqws
深圳卫视,http://43.226.38.166:89/dglive/ysp.php?id=szws
四川卫视,http://43.226.38.166:89/dglive/ysp.php?id=scws
河南卫视,http://43.226.38.166:89/dglive/ysp.php?id=henanws
福建东南卫视,http://43.226.38.166:89/dglive/ysp.php?id=fjdnhz
贵州卫视,http://43.226.38.166:89/dglive/ysp.php?id=gzhws
江西卫视,http://43.226.38.166:89/dglive/ysp.php?id=jxws
辽宁卫视,http://43.226.38.166:89/dglive/ysp.php?id=lnws
安徽卫视,http://43.226.38.166:89/dglive/ysp.php?id=ahws
河北卫视,http://43.226.38.166:89/dglive/ysp.php?id=hbws2
山东卫视,http://43.226.38.166:89/dglive/ysp.php?id=sdws
天津卫视,http://43.226.38.166:89/dglive/ysp.php?id=tjws
吉林卫视,http://43.226.38.166:89/dglive/ysp.php?id=jlws
陕西卫视,http://43.226.38.166:89/dglive/ysp.php?id=shanxiws
宁夏卫视,http://43.226.38.166:89/dglive/ysp.php?id=nxws
内蒙古卫视,http://43.226.38.166:89/dglive/ysp.php?id=nmgws

央视(组播),#genre#
CCTV1,http://web.dv88.cn:4321/rtp/239.11.0.65:5140
CCTV2,http://web.dv88.cn:4321/rtp/239.11.0.108:5140
CCTV3,http://web.dv88.cn:4321/rtp/239.11.0.101:5140
CCTV4,http://web.dv88.cn:4321/rtp/239.11.0.109:5140
CCTV5,http://web.dv88.cn:4321/rtp/239.11.0.100:5140
CCTV5+,http://web.dv88.cn:4321/rtp/239.11.0.241:5140
CCTV6,http://web.dv88.cn:4321/rtp/239.11.0.102:5140
CCTV7,http://web.dv88.cn:4321/rtp/239.11.0.110:5140
CCTV8,http://web.dv88.cn:4321/rtp/239.11.0.103:5140
CCTV9,http://web.dv88.cn:4321/rtp/239.11.0.111:5140
CCTV10,http://web.dv88.cn:4321/rtp/239.11.0.112:5140
CCTV11,http://web.dv88.cn:4321/rtp/239.11.0.22:5140
CCTV12,http://web.dv88.cn:4321/rtp/239.11.0.113:5140
CCTV13,http://web.dv88.cn:4321/rtp/239.11.0.24:5140
CCTV14,http://web.dv88.cn:4321/rtp/239.11.0.114:5140
CCTV15,http://web.dv88.cn:4321/rtp/239.11.0.26:5140
CCTV16,http://web.dv88.cn:4321/rtp/239.11.0.67:5140
CCTV17,http://web.dv88.cn:4321/rtp/239.11.0.107:5140

CCTV1,http://nas.201606.xyz:4022/rtp/239.11.0.65:5140
CCTV2,http://nas.201606.xyz:4022/rtp/239.11.0.108:5140
CCTV3,http://nas.201606.xyz:4022/rtp/239.11.0.101:5140
CCTV4,http://nas.201606.xyz:4022/rtp/239.11.0.109:5140
CCTV5,http://nas.201606.xyz:4022/rtp/239.11.0.100:5140
CCTV5+,http://nas.201606.xyz:4022/rtp/239.11.0.241:5140
CCTV6,http://nas.201606.xyz:4022/rtp/239.11.0.102:5140
CCTV7,http://nas.201606.xyz:4022/rtp/239.11.0.110:5140
CCTV8,http://nas.201606.xyz:4022/rtp/239.11.0.103:5140
CCTV9,http://nas.201606.xyz:4022/rtp/239.11.0.111:5140
CCTV10,http://nas.201606.xyz:4022/rtp/239.11.0.112:5140
CCTV11,http://nas.201606.xyz:4022/rtp/239.11.0.22:5140
CCTV12,http://nas.201606.xyz:4022/rtp/239.11.0.113:5140
